"_loan_id","_client_id","_line_id","_type","_number","_filial","_effect","rate","srok","open_date","end_date","summa","_client_type","_line_number","_line_sum","_open_line","_product","_peni"
"bc1c2c4d54674cb511e893aacc3f1be7","bc1c2c4d54674cb511e893aacc3f1be1",NULL,"Потребительский кредит","76","г. Алматы","55.900","55.00","12","2018-07-30","2019-07-30","5100000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"bf322c4d54674cb511e88f2acd61c074","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","75","г. Алматы","55.800","55.00","12","2018-07-24","2019-07-24","3000000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"b6fc2c4d54674cb511e775a3e3cc1fc1","8b202c4d54674cb511e76dc85591e418",NULL,"Потребительский кредит","21",NULL,"48.800","48.00","12","2017-07-18","2018-07-20","7000000.00","0",NULL,NULL,NULL,"Краткосрочный микрокредит на потребительские цели под 48% с комиссией 4 %","1.00"
"a35a2c4d54674cb511e7c50488855a3f","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","34",NULL,"55.700","55.00","12","2017-11-03","2018-11-03","2700000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"bc1c2c4d54674cb511e893aacc3f1be9","bc1c2c4d54674cb511e893aacc3f1be1",NULL,"Потребительский кредит","77","г. Алматы","55.900","55.00","12","2018-07-30","2019-07-30","4100000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"810800505694c42011e8e7cb1163dc84","892590fba666762811e74030b645cce5",NULL,"Потребительский кредит","91","г. Алматы","53.630","48.00","12","2018-11-15","2019-11-15","8000000.00","0",NULL,NULL,NULL,"Краткосрочный микрокредит на потребительские цели под 48% с комиссией 4 %","1.00"
"810800505694c42011e8f7b3cf86dfd6","810800505694c42011e8f7b3cf86dfc4",NULL,"Потребительский кредит","97","г. Семей","51.880","50.00","48","2018-12-06","2022-12-06","3200000.00","0",NULL,NULL,NULL,"Долгосрочный 50 % без отсрочки ком 3 % пени 1% лимит","1.00"
"bdb7c300d4229fcc11e6a7d04b68ca81","bdb6df8e8bbe9ac211e6a7063c6c2a58",NULL,"Потребительский кредит","02",NULL,"55.600","55.00","12","2016-11-10","2017-11-10","700000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под залоговое обеспечение","0.70"
"953c2c4d54674cb511e8dd8c23cb5306","bc1c2c4d54674cb511e893aacc3f1be1",NULL,"Потребительский кредит","87","г. Алматы","55.740","55.00","12","2018-11-01","2019-11-01","3000000.00","0",NULL,NULL,NULL," Краткосрочный потребительский кредит под залоговое обеспечение-55%","1.00"
"810a00505694c42011e9072aa5156834","810a00505694c42011e9072aa515682b",NULL,"Потребительский кредит","103","г. Алматы","50.240","48.00","48","2018-12-24","2022-12-24","3200000.00","0",NULL,NULL,NULL,"Долгосрочный 48 мес 48 % 4 ком недвижимость разовый","1.00"
"a1f52c4d54674cb511e7cac11e19094b","a1f52c4d54674cb511e7caba80bd99e5",NULL,"Потребительский кредит","38",NULL,"49.900","48.00","24","2017-11-15","2019-11-15","9700000.00","0",NULL,NULL,NULL,"Долгосрочный кредитный продукт под 48%  с комиссией 2% под залог автомобиля","1.00"
"9a442c4d54674cb511e7b95f91b57269","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","32",NULL,"55.800","55.00","12","2017-10-19","2018-10-19","1900000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"810800505694c42011e8fded982bc8e9","810800505694c42011e8ee05a34b7bdb",NULL,"Потребительский кредит","102","г. Алматы","55.810","55.00","12","2018-12-12","2019-12-12","3500000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
